plu_no,description
600,CHICKEN BREAST FILLET SKIN OFF
601,CHICKEN BREAST FILLET SKIN ON
602,CHICKEN KIEV
603,CHICKEN LEG FILLET SKIN OFF
604,CHICKEN LEG FILLET SKIN ON
605,CHICKEN THIGH FILLET SKIN OFF
606,CHICKEN THIGH FILLET SKIN ON
607,CHICKEN CHOPS
608,CHICKEN WINGS
609,CHICKEN MARYLAND
610,CHICKEN DRUMSTICKS
611,CHICKEN THIGH
612,CHICKEN CASSEROLE
613,CHICKEN NO 9
614,CHICKEN NO 10
615,CHICKEN NO 11
616,CHICKEN NO 12
617,CHICKEN NO 13
618,CHICKEN NO 14
619,CHICKEN NO 15
620,CHICKEN NO 16
621,CHICKEN NO 17
622,CHICKEN NO 18
623,CHICKEN NO 19
624,CHICKEN NO 20
625,CHICKEN TENDERLOIN
626,BUTTERFLIED CHICKEN BREAST SCHNITZEL
627,CHICKEN BREAST SCHNITZEL CRUMBED
628,CHICKEN LEG SCHNITZEL CRUMBED
629,CHICKEN THIGH SCHNITZEL CRUMBED
630,CHICKEN MINI ROASTS
631,CHICKEN MINI ROASTS SEASONED
632,CHICKEN DRUMETTES
633,CHICKEN WINGETTES
634,CHICKEN WINGS MARINATED
635,CHICKEN SATAYS
636,CHICKENS SATAYS MARINATED
637,DICED CHICKEN
638,CHICKEN STRIPS
639,BOSTON BIRD
640,CHICKEN MIGNON
641,CHICKEN THIGH MARINATED
642,CHICKEN STRIPS MARINATED
643,CHICKEN DRUMSTICKS MARINATED
644,CHICKEN MARYLAND CUT HALF
645,CHICKEN THIGH TENDERISED
646,CHICKEN BREAST LILYDALE
647,CHICKEN ROLL
648,CHICKEN ROLL SKIN ON
649,CHICKEN YIROS
650,CHICKEN MINCE NO PRESERVATIVE
651,WHOLE CHICKENS
652,TOM YUM SATAY (STORE BELOW -18)
653,SALT & SEASONED CHICKENS
654,CHICKEN BUFFET
655,CHICKEN THIGH BONE IN
656,CHICKEN MIXED PORTIONS
657,MARINATED DICED CHICKEN
658,QUARTER CUT CHICKENS
659,MARINATED CHICKEN TENDERLOIN
660,LILYDALE CHICKEN BREAST FILLET
661,LILYDALE CHICKENS - WHOLE
662,CHICKEN SPARE RIBS
666,HALAL
670,MARINATED CHICKEN BREAST
671,ASIAN CHICKEN STRIPS
672,HAND DICED CHICKEN
673,HAND DICED CHICKEN 40MM
674,HAND DICED CHICKEN 50MM
675,CHICKEN SKIN
676,MARINATED CHICKEN DRUMETTE
677,MARINATED CHICKEN WINGETTE
700,KANGAROO FILLET
701,KANGAROO BACKSTRAP
702,KANGAROO BACKSTRAP DENUDED
703,KANGAROO TOPSIDE
704,KANGAROO SCHNITZEL CRUMBED
705,KANGAROO SMOKED
706,SKINLESS ROO TAILS
707,120GM - 150GM ROO PORTERHOUSE
708,KANGAROO TAIL SKIN ON
709,KANGAROO SIRLOIN PORTIONS
710,DICED GOAT
711,GOAT MINCE
712,KANGAROO MIGNON
713,VENISON MINCE
714,DICED KANGAROO
715,FROZEN PLAIN CHICKEN SNITZ
716,KANGAROO SATAY
717,KANGAROO MINCE (FROZEN PRODUCT)
718,KANGAROO SATAY
720,QUAILS
721,QUAILS BUTTERFLYED
722,SPATCHCOCK
723,ATLANTIC SALMON (FROZEN PRODUCT)
724,BARRAMUNDI FILLET (FROZEN PRODUCT)
725,VENISON BACKSTRAP
730,DUCK NO 18
731,DUCK MARYLAND
732,DUCK BREAST
740,TURKEY BUFFE
741,TURKEY ROLL HOLCO
742,TURKEY DICED
743,TURKEY MINCE
744,BONELESS TURKEY BREAST
745,TURKEY ESCALOPES
746,TURKEY BREAST CARVERY ROAST
747,SPATCHCOCK
748,EMU MINCE
749,EMU FILLET
750,10MM TURKEY MINCE NO PRESERVATIVE
751,TURKEY LEG
752,KANGAROO STRIPS
753,CHORIZO
754,BONE IN HAM
777,WAYNES FOLDER
800,SLICED CHICKEN LOAF
801,SLICED 4 X 4 FRITZ
802,SLICED BONELESS LEG HAM
803,SLICED VIRGINIAN HAM
804,SLICED 4 X 4 YORK HAM
805,SLICED MORTADELLA
806,SLICED METTWURST
807,SLICED HUNGARIAN SALAMI
808,SLICED POLISH SAUSAGE
809,SLICED COOKED SILVERSIDE
810,SLICED ROASTED TURKEY ROLL
811,SLICED SMOCKED TURKEY ROLL
812,SMOKED HOCK
813,BACON BONES
814,DICED BACON
815,CHICKEN BREAST FILLET SMOKED
816,SPANISH CHORIZO
817,PASTRAMI
818,CHORIZO
819,SLICED CASALINGA
820,EMU PROSCUITTO
821,RINDLESS BACON
823,SLICED PANCETTA
824,SLICED FLAT PANCETTA
825,CHEESE KRANSKY
826,BRESAOLA
827,CHICKEN BREAST SKIN OFF HALAL PRODUCT
828,CHICKEN DRUMSTICK HALAL PRODUCT
829,CHICKEN THIGH SKIN ON HALAL PRODUCT
830,#17 CHICKEN HALAL PRODUCT
831,DICED BEEF HALAL PRODUCT
832,BEEF MINCE NO PRESERVATIVE HALAL PRODUCT
833,LAMB FOREQUARTER CHOPS HALAL PRODUCTS
834,LAMB MINCE HALAL PRODUCT
835,LAMB SHANKS HALAL PRODUCT
836,CHICKEN MINCE HALAL PRODUCT
837,THIN BEEF SAUSAGES HALAL PRODUCT
838,CHICKEN WINGS HALAL PRODUCT
839,CHICKEN THIGH SKIN OFF HALAL PRODUCT
840,DICED LAMB HALAL PRODUCT
851,FOODLAND
900,BEEF MINCE
901,TOPSIDE MINCE
902,DICED CHUCK
903,DICED STEAK AND KIDNEY
904,DICED TOPSIDE
905,TOPSIDE
906,BLADE
907,BLADE NETTED
908,BLADE SLICED & TENDERISED
910,CORNED SILVERSIDE CONTAINS NITRITE
911,CORNED SILVERSIDE EYE CONTAINS NITRITE
912,SILVERSIDE CONTAINS NITRITE
913,STRIPLOIN
914,VEAL BLADE
915,TOPSIDE STRIPS
916,CRUMBED BEEF SCHNITZEL
917,DICED VEAL
918,KNUCKLE
919,LAMB LEG BONELESS & ROLLED
920,"LAMB LEG BONELESS, ROLLED & CORNED"
921,LAMB LEG STEAK
922,LAMB FOREQUARTER BONELESS & ROLLED
923,LAMB FOREQUARTER CHOPS
924,LAMB DICED
925,LAMB DICED HAND CUT
926,LAMB MINCE
927,LAMB LOIN CHOPS
928,LOMB LOIN CHOPS CRUMBED
930,LAMB KIDNEY DICED
931,CRUMBED BRAINS
932,LAMB FRYS
933,LAMB FOREQUARTER CHOPS CRUMBED
934,DICED BLADE
935,VIRGINIAN HAM SLICED
936,CHICKEN LOAF SLICED
937,PORK LEG BONELESS & ROLLED
938,"PORK LEG BONELESS, ROLLED & CORNED"
939,PORK LEG CHOP
940,PORK LOIN CHOP RINDLESS
941,PORK SCOTCH
942,PORK FOREQUARTER BONED & ROLLED
943,PORK DICED
944,PORK DICED HAND CUT
945,PORK MINCE
946,BACON RINDLESS SMOKED AND GLUTEN FREE
947,BACON RIND ON SMOKED AND GLUTEN FREE
948,DICED BACON SMOKED AND GLUTEN FREE
949,BACON BONES
950,OVEN ROASTED TURKEY ROLL SLICED
951,PORK SCOTCH CORNED
952,KNUCKLE SLICED
953,KNUCKLE
954,BEEF BURGERS CONTAINS SOY & SULPHITE
955,THIN SAUSAGES
956,THICK SAUSAGES
957,SAUSAGE MEAT
958,THIN PORK SAUSAGES
959,THICK PORK SAUSAGES
960,4X4 HAM SLICED
961,COOKED SILVERSIDE SLICED
962,4X4 FRITZ SLICED
963,HAM STEAK
964,CHICKEN DRUMSTICKS
965,CHICKEN MARYLAND
966,CHICKEN CHOPS
967,CHICKEN DICED
968,CHICKEN BREAST FILLET SKIN OFF
969,CHICKEN THIGH FILLET SKIN OFF
970,PREMIUM CHICKEN SAUSAGE MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
971,CHICKEN LEG SCHNITZEL CRUMBED
972,RUMP SLICED
973,BUNG FRITZ SLICED
974,BONELESS LEG HAM
975,BONELESS LEG HAM SLICED
976,SCHNITZEL
977,CHICKEN BONES
978,CHICKEN WINGS
979,CHICKEN THIGH FILLET SKIN OFF
980,HUNGARIAN SALAMI SLICED
981,CHICKEN MINCE NO PRESERVATIVE
982,MARINATED STEAK
983,BEEF KEBABS
984,CHICKEN KEBABS
985,CHICKEN STIRFRY
986,VEAL SCHNITZEL
987,MORTADELLA
988,CHICKEN KIEV
989,CHICKEN BREAST SKIN ON
990,CHICKEN TENDERLOINS
991,CHICKEN LEG FILLET SKIN ON
992,CHICKEN STRIPS
993,PORK FILLET
994,BEEF MINCE NO PRESERVATIVE
995,TOPSIDE MINCE NO PRESERVATIVE
996,PORK MINCE NO PRESERVATIVE
997,LAMB MINCE NO PRESERVATIVE
998,ASIAN BEEF STIR FRY
999,TEST LABEL 4
1000,WAGYU RUMP
1001,WAGYU SCHNITZEL
1002,FLAT IRON STEAK
1008,CUBE ROLL
1010,RUMP
1012,ROO TAIL FROZEN
1020,LAMB RIBS
1021,YG TOPSIDE ROAST
1022,YG BOLAR ROAST
1023,CORNED SILVERSIDE CONTAINS NITRITE
1024,THICK FLANK STEAK
1025,CORNED SILVERSIDE NETTED CONTAINS NITRITE
1026,BEEF HANGER STEAK
1027,BEEF RIBS BONELESS
1028,BOLAR ROAST
1029,NETTED BOLAR ROAST
1030,SEASONED BOLAR ROAST
1031,CHICKEN BREAST NUGGET
1114,BARRAMUNDI PORTION IMPORTED
1115,GUMMY SHARK KEEP FROZEN PRODUCT OF AUSTRALIA
1300,PLAIN CHICKEN SCHNITZEL
1301,PLAIN CHICKEN SCHNITZEL 150GM
1302,PLAIN CHICKEN SCHNITZEL 160GM
1303,PLAIN CHICKEN SCHNITZEL 180GM
1304,PLAIN CHICKEN SCHNITZEL 200GM
1305,PLAIN CHICKEN SCHNITZEL 220GM
1306,PLAIN CHICKEN SCHNITZEL 250GM
1307,PLAIN CHICKEN SCHNITZEL 300GM
1308,PLAIN CHICKEN SCHNITZEL HONEY SOY MARINATED
1309,PLAIN CHICKEN THIGH SCHNITZEL
1310,DICED TOPSIDE
1311,ROUND STEAK
1312,OX TAIL
1313,BEEF SPARE RIBS
1314,"HAMBURGERS MAY CONTAIN GLUTEN, SOY & SULPHITES"
1315,BEEF MINCE (PRESERVATIVE)
1316,BBQ SAUSAGES
1317,LAMB FOREQUARTER CHOPS
1318,LAMB LOIN CHOPS
1319,LAMB LEG CHOPS
1320,LAMB LEG
1321,PORK LOIN CHOPS
1322,PORK SPARE RIBS
1323,PORK FOREQUARTER CHOPS
1324,CHICKEN BREAST FILLETS SKIN OFF
1325,LAMB FRENCH CUTLETS
1326,SANDWICH STEAK
1327,CHEVAPCHICHI
1328,LAMB BRAINS
1329,LAMB FILLET
1330,CORNED SILVERSIDE CONTAINS NITRITE
1331,FILLET STEAK
1332,THIN PORK SAUSAGES
1333,PORK MINCE
1334,PORK MEDALLONS
1335,BOLAR ROAST
1336,OSSO BUCCO
1337,BRATWURST SAUSAGE
1338,CHICKEN SCHNITZELS CRUMBED
1339,LAMB LEG BONELESS & ROLLED
1340,PORK LEG BONELESS & ROLLED
1341,CHUCK STEAK
1342,LAMB SHANKS
1343,CHICKEN KIEV
1344,GIRELLO
1345,BACON BONES
1346,LAMB RACK
1347,CRUMBED PATTIES
1348,CHICKEN WINGS
1349,DICED STEAK & KIDNEY
1350,SAUSAGE MEAT
1351,SIDE OF LAMB
1352,BEEF STIRFRY
1353,PORK LEG ROAST
1354,QUAILS
1355,VEAL BLADE ROAST
1356,HAM STEAK
1357,LAMB LEG CHOPS
1358,GRAVY BEEF
1359,STEWING STEAK
1360,PORK FILLET
1361,CHICKEN DRUMSTICKS
1362,BLADE STEAK
1363,"BEEF BURGERS MAY CONTAIN GLUTEN, SOY & SULPHITES"
1364,CHIPOLATTAS
1365,DICED BLADE STEAK
1366,LAMB BONES
1367,BBQ STEAK
1368,THICK PORK SAUSAGES
1369,DICED CHICKEN
1370,LAMB CHUMP CHOPS
1371,BEEF KEBABS
1372,CHICKEN KEBABS
1373,THICK BBQ SAUSAGES
1374,CHICKEN SAUSAGES
1375,CHICKEN MINCE NO PRESERVATIVE
1376,CHICKEN DRUMSTICKS
1377,MARINATED CHICKEN WINGS
